Name,IsLastYear,InLastTeam,Transfer,Year,Team,Age,Position,Games,PA,AtBats,R,H,2BH,3BH,HR,루타수,RBI,SB,CS,BB,HBP,IW,SO,DoublePlay,SacHit,SF,BA,OBP,SLG,OPS,wOBA,wRCplus,WPA,Salary,BattingRAA,StealingRAA,BRRAA,offtotRAA,DefenseRAA,PosRAA,deftotRAA,RAAadj,totRAA,repRun,RAR,RPW,WAA,WARBat,WAROff,WARStar,dWAA,WAR
문규현,FALSE,TRUE,N,2012,롯데,29,SS,105,277,244,17,50,10,0,0,60,17,0,2,13,4,0,50,3,14,2,0.205,0.255,0.246,0.501,0.231,34.9,,8400,-19.5,-0.9,-0.6,-21,0,3.2,3.2,-21,-17.8,12.7,-5.1,9.17,-1.9,-0.74,-0.91,-0.56,0,-0.56
문규현,FALSE,TRUE,N,2013,롯데,30,SS,79,116,101,10,24,2,0,0,26,6,2,0,11,0,0,23,1,2,2,0.238,0.307,0.257,0.564,0.274,54.3,,9000,-6.3,0.3,-0.1,-6.1,0,1.4,1.4,-6.1,-4.7,5.8,1.1,9.97,-0.5,-0.05,-0.03,0.11,0,0.11
문규현,FALSE,TRUE,N,2014,롯데,31,SS,77,275,235,33,66,16,0,2,88,27,5,2,26,0,0,30,7,12,2,0.281,0.35,0.374,0.724,0.322,76,-0.2,6800,-9.6,0.1,-0.3,-9.9,5.6,3.5,9.1,-4.3,-0.8,15.7,14.9,11.41,-0.1,0.53,0.51,0.82,0.49,1.31
문규현,FALSE,TRUE,N,2015,롯데,32,SS,105,298,265,24,65,12,1,2,85,25,4,2,14,1,0,39,6,15,3,0.245,0.283,0.321,0.603,0.263,43.9,-1.78,3000,-22.6,-0.1,-3.5,-26.2,7.4,4,11.4,-18.8,-14.8,16.3,1.5,10.55,-1.4,-0.9,-1.24,-0.86,0.7,-0.16
문규현,FALSE,TRUE,N,2016,롯데,33,SS,120,368,316,38,86,10,0,4,108,40,2,3,29,1,0,39,10,19,2,0.272,0.333,0.342,0.675,0.301,62.9,-0.92,3000,-19.4,-0.7,1.5,-18.6,8.9,4.6,13.5,-9.7,-5.1,21,15.9,11.1,-0.5,-0.21,-0.14,0.27,0.8,1.07
문규현,FALSE,TRUE,N,2017,롯데,34,SS,110,337,304,38,82,15,2,6,119,42,2,1,10,2,1,42,10,18,3,0.27,0.295,0.391,0.686,0.286,57.9,-0.8,12000,-19.5,0.1,1.2,-18.1,-5.8,3.6,-2.2,-23.9,-20.3,18.5,-1.8,10.79,-1.9,-0.4,-0.28,0.06,-0.54,-0.48
문규현,FALSE,TRUE,N,2018,롯데,35,SS,122,349,316,42,87,19,1,6,126,41,3,1,18,0,0,45,9,9,6,0.275,0.309,0.399,0.708,0.302,68.4,-1.41,18000,-15.7,0.2,0.7,-14.8,-1.4,4.1,2.7,-16.2,-12.2,19.8,7.6,11.1,-1.1,0.04,0.12,0.48,-0.13,0.36
문규현,TRUE,TRUE,N,2019,롯데,36,3B,40,72,64,7,16,2,0,0,18,10,0,0,3,0,0,10,1,2,3,0.25,0.271,0.281,0.553,0.25,43.7,-0.5,,-4.8,0,-0.9,-5.7,-0.7,0.2,-0.5,-6.4,-6.2,3.5,-2.6,9.6,-0.6,-0.2,-0.29,-0.27,-0.08,-0.34
박정권,FALSE,TRUE,N,2004,SK,23,,24,30,28,1,5,0,0,0,5,0,0,0,2,0,0,5,0,0,0,0.179,0.233,0.179,0.412,0.206,6.9,,,-3.4,0,-0.1,-3.4,0,0,0,-3.4,-3.4,1.5,-1.9,10.03,-0.3,-0.19,-0.19,-0.19,0,-0.19
박정권,FALSE,TRUE,N,2007,SK,26,1B,100,229,208,26,46,12,2,4,74,25,2,1,15,2,2,50,5,4,0,0.221,0.28,0.356,0.636,0.288,69.4,,2000,-7.7,0,0.1,-7.6,0,-4.5,-4.5,-7.6,-12.1,10.8,-1.4,9.41,-1.3,0.32,0.33,-0.14,0,-0.14
박정권,FALSE,TRUE,N,2008,SK,27,1B,56,138,127,15,33,4,1,3,48,20,0,0,11,0,1,23,3,0,0,0.26,0.319,0.378,0.697,0.325,92.9,,4000,-1.1,-0.1,-0.3,-1.4,0,-2.8,-2.8,-1.4,-4.2,6.7,2.5,9.73,-0.4,0.57,0.54,0.25,0,0.25
박정권,FALSE,TRUE,N,2009,SK,28,1B,131,511,446,70,123,27,0,25,225,76,5,4,51,4,4,91,8,8,2,0.276,0.354,0.504,0.858,0.368,112.4,,5000,8.3,-1.1,-1.1,6.1,0,-11.4,-11.4,6.1,-5.3,27.4,22.1,10.74,-0.5,3.33,3.12,2.06,0,2.06
박정권,FALSE,TRUE,N,2010,SK,29,1B,124,505,431,76,132,19,4,18,213,76,17,5,63,5,8,89,7,2,4,0.306,0.398,0.494,0.892,0.396,136.6,,12500,23.6,1,1.3,25.9,0,-11,-11,25.9,14.8,26.4,41.3,10.47,1.4,4.78,4.99,3.94,0,3.94
