Name,IsLastYear,InLastTeam,Transfer,Year,Team,Age,Position,Games,PA,AtBats,R,H,2BH,3BH,HR,루타수,RBI,SB,CS,BB,HBP,IW,SO,DoublePlay,SacHit,SF,BA,OBP,SLG,OPS,wOBA,wRCplus,WPA,Salary,BattingRAA,StealingRAA,BRRAA,offtotRAA,DefenseRAA,PosRAA,deftotRAA,RAAadj,totRAA,repRun,RAR,RPW,WAA,WARBat,WAROff,WARStar,dWAA,WAR
이범호,FALSE,FALSE,N,2002,한화,21,3B,111,329,296,41,77,20,2,11,134,35,5,1,24,3,1,57,5,4,2,0.26,0.32,0.453,0.773,0.334,103.6,,2400,1.4,0.7,0.2,2.3,0,1.4,1.4,2.3,3.7,16.4,20.1,9.95,0.4,1.79,1.88,2.02,0,2.02
이범호,FALSE,FALSE,N,2003,한화,22,3B,107,384,323,46,77,19,1,11,131,38,2,6,47,5,1,63,6,8,1,0.238,0.343,0.406,0.749,0.334,97.4,,3500,-1.2,-1.8,-0.7,-3.7,0,1.6,1.6,-3.7,-2.1,19.1,17,9.95,-0.2,1.8,1.55,1.71,0,1.71
이범호,FALSE,FALSE,N,2004,한화,23,3B,133,541,481,80,148,35,3,23,258,74,6,3,48,3,1,80,8,5,4,0.308,0.371,0.536,0.908,0.401,140.7,,4500,26.6,0.3,0.1,26.9,0,2.3,2.3,26.9,29.2,27.1,56.3,10.03,2.9,5.35,5.39,5.61,0,5.61
이범호,FALSE,FALSE,N,2005,한화,24,3B,126,513,444,69,121,27,1,26,228,68,6,2,53,9,0,94,8,1,6,0.273,0.357,0.514,0.871,0.387,135.8,,10500,21.8,0.2,-0.6,21.4,0,2.1,2.1,21.4,23.5,25.4,48.9,9.88,2.4,4.77,4.73,4.95,0,4.95
이범호,FALSE,FALSE,N,2006,한화,25,3B,126,497,421,53,108,25,1,20,195,73,0,2,65,7,2,87,11,1,3,0.257,0.363,0.463,0.826,0.379,141.1,,16000,21.4,-1,-2,18.4,0,1.8,1.8,18.4,20.2,22.2,42.4,8.92,2.3,4.88,4.54,4.75,0,4.75
이범호,FALSE,FALSE,N,2007,한화,26,3B,126,505,418,57,103,14,0,21,180,63,2,0,72,5,1,73,14,6,4,0.246,0.361,0.431,0.791,0.363,122.5,,23000,12.6,0.3,-1.9,11,0,2,2,11,12.9,23.8,36.7,9.41,1.4,3.86,3.69,3.9,0,3.9
이범호,FALSE,FALSE,N,2008,한화,27,3B,125,508,434,80,120,21,3,19,204,77,12,1,61,9,0,50,18,0,4,0.277,0.374,0.47,0.844,0.389,136.1,,21000,21.3,1.8,0.3,23.3,0,2.1,2.1,23.3,25.4,24.7,50.1,9.73,2.6,4.72,4.94,5.15,0,5.15
이범호,FALSE,FALSE,N,2009,한화,28,3B,126,499,436,64,124,21,0,25,220,79,3,1,53,7,5,70,10,0,3,0.284,0.369,0.505,0.873,0.382,121,,33000,13.7,-0.2,-1.4,12.1,0,2.2,2.2,12.1,14.3,26.8,41.2,10.74,1.3,3.77,3.62,3.83,0,3.83
이범호,FALSE,TRUE,Y,2011,KIA,30,3B,101,405,318,63,96,21,0,17,168,77,2,0,75,7,3,56,8,0,5,0.302,0.44,0.528,0.968,0.44,171.1,,40000,33.8,0.4,-1.4,32.8,0,1.7,1.7,32.8,34.4,19.8,54.2,9.8,3.5,5.47,5.37,5.54,0,5.54
이범호,FALSE,TRUE,N,2012,KIA,31,3B,42,171,140,13,41,7,0,2,54,19,1,0,27,1,2,23,3,0,3,0.293,0.404,0.386,0.789,0.373,134.9,,49500,6.5,0,-0.8,5.7,0,0.7,0.7,5.7,6.4,7.8,14.2,9.17,0.7,1.56,1.48,1.55,0,1.55
이범호,FALSE,TRUE,N,2013,KIA,32,3B,122,516,436,56,108,17,0,24,197,73,0,2,62,9,3,79,18,4,5,0.248,0.35,0.452,0.801,0.364,115,,43500,9.2,-1.1,-2.6,5.5,0,2.1,2.1,5.5,7.6,25.7,33.4,9.97,0.8,3.5,3.13,3.35,0,3.35
이범호,FALSE,TRUE,N,2014,KIA,33,3B,105,406,350,47,94,23,0,19,174,82,2,2,41,11,1,89,9,0,4,0.269,0.36,0.497,0.857,0.375,111.8,1.82,45000,6.6,-0.5,-1.5,4.6,-0.7,-0.3,-1,4,3.6,23.2,26.8,11.41,0.3,2.61,2.44,2.41,-0.06,2.35
이범호,FALSE,TRUE,N,2015,KIA,34,3B,138,514,437,60,118,25,0,28,227,79,3,4,57,16,1,91,16,0,4,0.27,0.372,0.519,0.891,0.389,125.2,2.74,65000,17,-1.2,-3.6,12.2,-6.1,0.9,-5.3,6,6.9,28.1,35,10.88,0.6,3.7,3.26,3.34,-0.56,2.78
이범호,FALSE,TRUE,N,2016,KIA,35,3B,138,560,484,93,150,23,0,33,272,108,1,1,60,9,7,57,15,0,7,0.31,0.391,0.562,0.953,0.411,132.9,3.95,65000,25.4,0.3,-4,21.7,3,1.4,4.4,24.7,26.1,31.9,58,11.36,2.3,4.57,4.24,4.36,0.27,4.63
이범호,FALSE,TRUE,N,2017,KIA,36,3B,115,447,382,57,104,14,0,25,193,89,0,0,52,7,3,81,9,0,6,0.272,0.365,0.505,0.87,0.375,118.2,2.29,65000,10.6,0.3,0,10.9,-4.2,1.6,-2.6,6.7,8.3,24.6,32.9,10.96,0.8,2.83,2.86,3,-0.38,2.62
이범호,FALSE,TRUE,N,2018,KIA,37,3B,101,380,332,41,93,7,0,20,160,69,1,0,42,4,4,59,12,0,2,0.28,0.366,0.482,0.848,0.365,112.5,1.03,65000,6.4,0.3,-0.6,6.2,4.4,1.1,5.5,10.5,11.6,21.5,33.1,11.19,1,2.16,2.13,2.23,0.39,2.62
이범호,TRUE,TRUE,N,2019,KIA,38,,19,31,26,1,6,1,0,1,10,5,0,0,3,0,0,3,1,0,2,0.231,0.29,0.385,0.675,0.301,78,-0.29,65000,-0.8,0,0.1,-0.8,0.1,-0.4,-0.2,-0.6,-1,1.5,0.5,9.66,-0.1,0.05,0.05,0.01,0.01,0.03
이인행,FALSE,TRUE,N,2015,KIA,24,SS,20,33,30,0,6,0,0,0,6,0,0,0,2,0,0,9,0,1,0,0.2,0.25,0.2,0.45,0.214,8.7,-0.4,3000,-4.1,0,-1.6,-5.7,-4.4,0.3,-4.2,-10.1,-9.8,1.8,-8,10.74,-0.9,-0.24,-0.39,-0.37,-0.41,-0.78
이인행,FALSE,TRUE,N,2017,KIA,26,1B,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-132.7,0,3100,-0.9,0,0,-0.9,-0.2,0,-0.2,-1.1,-1.2,0.2,-1,10.68,-0.1,-0.08,-0.08,-0.08,-0.02,-0.1
이인행,FALSE,TRUE,N,2018,KIA,27,,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.7,0,3200,-0.3,0,0,-0.4,-0.2,0,-0.3,-0.6,-0.7,0.1,-0.6,11.16,-0.1,-0.02,-0.03,-0.03,-0.02,-0.05
이인행,TRUE,TRUE,N,2019,KIA,28,RF,9,20,16,1,3,1,0,0,4,2,0,0,2,1,0,6,1,1,0,0.188,0.316,0.25,0.566,0.27,55.6,0.06,3300,-1,0,0,-1,-0.4,-0.2,-0.5,-1.4,-1.6,1,-0.6,9.64,-0.2,-0.02,-0.02,-0.04,-0.04,-0.08
